timestamp_ms,raw_adc,user_id,gesture,phase,window_id,sample_index
1774725523304,364,user_04,fist_clench,clench,1774725522,0
1774725523307,177,user_04,fist_clench,clench,1774725522,1
1774725523307,59,user_04,fist_clench,clench,1774725522,2
1774725523307,133,user_04,fist_clench,clench,1774725522,3
1774725523308,137,user_04,fist_clench,clench,1774725522,4
1774725523309,43,user_04,fist_clench,clench,1774725522,5
1774725523310,0,user_04,fist_clench,clench,1774725522,6
1774725523311,90,user_04,fist_clench,clench,1774725522,7
1774725523312,116,user_04,fist_clench,clench,1774725522,8
1774725523313,137,user_04,fist_clench,clench,1774725522,9
1774725523314,227,user_04,fist_clench,clench,1774725522,10
1774725523315,492,user_04,fist_clench,clench,1774725522,11
1774725523316,426,user_04,fist_clench,clench,1774725522,12
1774725523317,176,user_04,fist_clench,clench,1774725522,13
1774725523318,283,user_04,fist_clench,clench,1774725522,14
1774725523319,405,user_04,fist_clench,clench,1774725522,15
1774725523320,0,user_04,fist_clench,clench,1774725522,16
1774725523321,210,user_04,fist_clench,clench,1774725522,17
1774725523322,39,user_04,fist_clench,clench,1774725522,18
1774725523323,0,user_04,fist_clench,clench,1774725522,19
1774725523324,52,user_04,fist_clench,clench,1774725522,20
1774725523325,293,user_04,fist_clench,clench,1774725522,21
1774725523326,267,user_04,fist_clench,clench,1774725522,22
1774725523327,220,user_04,fist_clench,clench,1774725522,23
1774725523329,118,user_04,fist_clench,clench,1774725522,24
1774725523330,162,user_04,fist_clench,clench,1774725522,25
1774725523331,40,user_04,fist_clench,clench,1774725522,26
1774725523331,14,user_04,fist_clench,clench,1774725522,27
1774725523333,129,user_04,fist_clench,clench,1774725522,28
1774725523334,107,user_04,fist_clench,clench,1774725522,29
1774725523335,350,user_04,fist_clench,clench,1774725522,30
1774725523336,756,user_04,fist_clench,clench,1774725522,31
1774725523337,890,user_04,fist_clench,clench,1774725522,32
1774725523338,701,user_04,fist_clench,clench,1774725522,33
1774725523339,451,user_04,fist_clench,clench,1774725522,34
1774725523340,408,user_04,fist_clench,clench,1774725522,35
1774725523341,217,user_04,fist_clench,clench,1774725522,36
1774725523342,0,user_04,fist_clench,clench,1774725522,37
1774725523343,130,user_04,fist_clench,clench,1774725522,38
1774725523344,212,user_04,fist_clench,clench,1774725522,39
1774725523345,224,user_04,fist_clench,clench,1774725522,40
1774725523346,192,user_04,fist_clench,clench,1774725522,41
1774725523347,128,user_04,fist_clench,clench,1774725522,42
1774725523348,32,user_04,fist_clench,clench,1774725522,43
1774725523349,0,user_04,fist_clench,clench,1774725522,44
1774725523350,0,user_04,fist_clench,clench,1774725522,45
1774725523351,69,user_04,fist_clench,clench,1774725522,46
1774725523352,111,user_04,fist_clench,clench,1774725522,47
1774725523353,138,user_04,fist_clench,clench,1774725522,48
1774725523355,173,user_04,fist_clench,clench,1774725522,49
1774725523355,214,user_04,fist_clench,clench,1774725522,50
1774725523356,143,user_04,fist_clench,clench,1774725522,51
1774725523357,61,user_04,fist_clench,clench,1774725522,52
1774725523358,36,user_04,fist_clench,clench,1774725522,53
1774725523359,0,user_04,fist_clench,clench,1774725522,54
1774725523360,24,user_04,fist_clench,clench,1774725522,55
1774725523361,129,user_04,fist_clench,clench,1774725522,56
1774725523362,178,user_04,fist_clench,clench,1774725522,57
1774725523363,210,user_04,fist_clench,clench,1774725522,58
1774725523364,241,user_04,fist_clench,clench,1774725522,59
1774725523365,196,user_04,fist_clench,clench,1774725522,60
1774725523366,167,user_04,fist_clench,clench,1774725522,61
1774725523367,64,user_04,fist_clench,clench,1774725522,62
1774725523368,0,user_04,fist_clench,clench,1774725522,63
1774725523370,0,user_04,fist_clench,clench,1774725522,64
1774725523371,0,user_04,fist_clench,clench,1774725522,65
1774725523372,0,user_04,fist_clench,clench,1774725522,66
1774725523372,39,user_04,fist_clench,clench,1774725522,67
1774725523374,357,user_04,fist_clench,clench,1774725522,68
1774725523375,615,user_04,fist_clench,clench,1774725522,69
1774725523376,482,user_04,fist_clench,clench,1774725522,70
1774725523377,314,user_04,fist_clench,clench,1774725522,71
1774725523378,83,user_04,fist_clench,clench,1774725522,72
1774725523379,0,user_04,fist_clench,clench,1774725522,73
1774725523380,0,user_04,fist_clench,clench,1774725522,74
1774725523381,90,user_04,fist_clench,clench,1774725522,75
